day,time,timestamp,origin_place,origin_lat,origin_lng,destination_place,destination_lat,destination_lng,mode,distance_meters,duration_seconds,duration_in_traffic,source,duration_final,adjusted_duration,cost,effort,score
8/4/2025,12:00,1754334000,Cal Anderson Park,47.61699686088056,-122.3191329,Seattle Aquarium,47.60738161055215,-122.3429637,transit,2366,1336,,api,1336.0,1336.0,22.206133333333334,2.0,9228.146666666667
8/4/2025,12:00,1754334000,Cal Anderson Park,47.61699686088056,-122.3191329,Seattle Aquarium,47.60738161055215,-122.3429637,walking,2368,1942,,api,1942.0,1747.8,0.0,0.0,1747.8
8/4/2025,12:00,1754334000,Cal Anderson Park,47.61699686088056,-122.3191329,Seattle Aquarium,47.60738161055215,-122.3429637,bicycling,3440,840,,api,840.0,756.0,0.0,4.0,996.0
8/4/2025,13:00,1754337600,Cal Anderson Park,47.61699686088056,-122.3191329,Seattle Aquarium,47.60738161055215,-122.3429637,driving,4046,999,981.0,api,981.0,981.0,24.3168,3.0,9671.880000000001
8/4/2025,13:00,1754337600,Cal Anderson Park,47.61699686088056,-122.3191329,Seattle Aquarium,47.60738161055215,-122.3429637,transit,2366,1336,,api,1336.0,1336.0,22.206133333333334,2.0,9228.146666666667
8/4/2025,13:00,1754337600,Cal Anderson Park,47.61699686088056,-122.3191329,Seattle Aquarium,47.60738161055215,-122.3429637,walking,2368,1942,,api,1942.0,1747.8,0.0,0.0,1747.8
8/4/2025,13:00,1754337600,Cal Anderson Park,47.61699686088056,-122.3191329,Seattle Aquarium,47.60738161055215,-122.3429637,bicycling,3440,840,,api,840.0,756.0,0.0,4.0,996.0
8/4/2025,14:00,1754341200,Cal Anderson Park,47.61699686088056,-122.3191329,Seattle Aquarium,47.60738161055215,-122.3429637,driving,4046,999,1008.0,api,1008.0,1008.0,24.6768,3.0,9824.88
8/4/2025,14:00,1754341200,Cal Anderson Park,47.61699686088056,-122.3191329,Seattle Aquarium,47.60738161055215,-122.3429637,transit,2366,1336,,api,1336.0,1336.0,22.206133333333334,2.0,9228.146666666667
8/4/2025,14:00,1754341200,Cal Anderson Park,47.61699686088056,-122.3191329,Seattle Aquarium,47.60738161055215,-122.3429637,walking,2368,1942,,api,1942.0,1747.8,0.0,0.0,1747.8
