day,time,timestamp,origin_place,origin_lat,origin_lng,destination_place,destination_lat,destination_lng,mode,distance_meters,duration_seconds,duration_in_traffic,source,duration_final,adjusted_duration,cost,effort,score
8/4/2025,6:00,1754312400,Space Needle,47.620475865973454,-122.3492266,Westlake Park,47.61094900589339,-122.3370206,driving,2010,540,447.0,api,447.0,447.0,15.568000000000001,3.0,6075.8
8/4/2025,6:00,1754312400,Space Needle,47.620475865973454,-122.3492266,Westlake Park,47.61094900589339,-122.3370206,transit,1981,931,,api,931.0,931.0,16.498133333333335,2.0,6825.346666666667
8/4/2025,6:00,1754312400,Space Needle,47.620475865973454,-122.3492266,Westlake Park,47.61094900589339,-122.3370206,walking,1505,1286,,api,1286.0,1157.4,0.0,0.0,1157.4
8/4/2025,6:00,1754312400,Space Needle,47.620475865973454,-122.3492266,Westlake Park,47.61094900589339,-122.3370206,bicycling,1757,490,,api,490.0,441.0,0.0,4.0,681.0
8/4/2025,7:00,1754316000,Space Needle,47.620475865973454,-122.3492266,Westlake Park,47.61094900589339,-122.3370206,driving,2010,540,470.0,api,470.0,470.0,15.874666666666666,3.0,6206.133333333333
8/4/2025,7:00,1754316000,Space Needle,47.620475865973454,-122.3492266,Westlake Park,47.61094900589339,-122.3370206,transit,2332,929,,api,929.0,929.0,16.752266666666667,2.0,6912.293333333334
8/4/2025,7:00,1754316000,Space Needle,47.620475865973454,-122.3492266,Westlake Park,47.61094900589339,-122.3370206,walking,1505,1286,,api,1286.0,1157.4,0.0,0.0,1157.4
8/4/2025,7:00,1754316000,Space Needle,47.620475865973454,-122.3492266,Westlake Park,47.61094900589339,-122.3370206,bicycling,1757,490,,api,490.0,441.0,0.0,4.0,681.0
8/4/2025,8:00,1754319600,Space Needle,47.620475865973454,-122.3492266,Westlake Park,47.61094900589339,-122.3370206,driving,2010,540,498.0,api,498.0,498.0,16.248,3.0,6364.8
8/4/2025,8:00,1754319600,Space Needle,47.620475865973454,-122.3492266,Westlake Park,47.61094900589339,-122.3370206,transit,2332,792,,api,792.0,792.0,14.925600000000001,2.0,6135.96
8/4/2025,8:00,1754319600,Space Needle,47.620475865973454,-122.3492266,Westlake Park,47.61094900589339,-122.3370206,walking,1505,1286,,api,1286.0,1157.4,0.0,0.0,1157.4
8/4/2025,8:00,1754319600,Space Needle,47.620475865973454,-122.3492266,Westlake Park,47.61094900589339,-122.3370206,bicycling,1757,490,,api,490.0,441.0,0.0,4.0,681.0
8/4/2025,9:00,1754323200,Space Needle,47.620475865973454,-122.3492266,Westlake Park,47.61094900589339,-122.3370206,driving,2010,543,533.0,api,533.0,852.8000000000001,20.97866666666667,3.0,8375.333333333334
