day,time,timestamp,origin_place,origin_lat,origin_lng,destination_place,destination_lat,destination_lng,mode,distance_meters,duration_seconds,duration_in_traffic,source,duration_final,adjusted_duration,cost,effort,score
8/4/2025,6:00,1754312400,Space Needle,47.620475865973454,-122.3492266,Westlake Park,47.61094900589339,-122.3370206,driving,2010,540,447.0,api,447.0,447.0,7.8493,3.0,1967.958
8/4/2025,6:00,1754312400,Space Needle,47.620475865973454,-122.3492266,Westlake Park,47.61094900589339,-122.3370206,transit,1981,931,,api,931.0,931.0,10.548996666666667,2.0,2263.9398
8/4/2025,6:00,1754312400,Space Needle,47.620475865973454,-122.3492266,Westlake Park,47.61094900589339,-122.3370206,walking,1505,1286,,api,1286.0,1157.4,0.0,1.0,1507.4
8/4/2025,6:00,1754312400,Space Needle,47.620475865973454,-122.3492266,Westlake Park,47.61094900589339,-122.3370206,bicycling,1757,490,,api,490.0,441.0,0.0,3.5,1666.0
8/4/2025,7:00,1754316000,Space Needle,47.620475865973454,-122.3492266,Westlake Park,47.61094900589339,-122.3370206,driving,2010,540,470.0,api,470.0,470.0,8.002633333333332,3.0,2000.158
8/4/2025,7:00,1754316000,Space Needle,47.620475865973454,-122.3492266,Westlake Park,47.61094900589339,-122.3370206,transit,2332,929,,api,929.0,929.0,10.862093333333334,2.0,2280.7255999999998
8/4/2025,7:00,1754316000,Space Needle,47.620475865973454,-122.3492266,Westlake Park,47.61094900589339,-122.3370206,walking,1505,1286,,api,1286.0,1157.4,0.0,1.0,1507.4
8/4/2025,7:00,1754316000,Space Needle,47.620475865973454,-122.3492266,Westlake Park,47.61094900589339,-122.3370206,bicycling,1757,490,,api,490.0,441.0,0.0,3.5,1666.0
8/4/2025,8:00,1754319600,Space Needle,47.620475865973454,-122.3492266,Westlake Park,47.61094900589339,-122.3370206,driving,2010,540,498.0,api,498.0,498.0,8.1893,3.0,2039.358
8/4/2025,8:00,1754319600,Space Needle,47.620475865973454,-122.3492266,Westlake Park,47.61094900589339,-122.3370206,transit,2332,792,,api,792.0,792.0,9.94876,2.0,2088.9256
8/4/2025,8:00,1754319600,Space Needle,47.620475865973454,-122.3492266,Westlake Park,47.61094900589339,-122.3370206,walking,1505,1286,,api,1286.0,1157.4,0.0,1.0,1507.4
8/4/2025,8:00,1754319600,Space Needle,47.620475865973454,-122.3492266,Westlake Park,47.61094900589339,-122.3370206,bicycling,1757,490,,api,490.0,441.0,0.0,3.5,1666.0
8/4/2025,9:00,1754323200,Space Needle,47.620475865973454,-122.3492266,Westlake Park,47.61094900589339,-122.3370206,driving,2010,543,533.0,api,533.0,799.5,10.199300000000001,3.0,2461.458
8/4/2025,9:00,1754323200,Space Needle,47.620475865973454,-122.3492266,Westlake Park,47.61094900589339,-122.3370206,transit,2332,792,,api,792.0,712.8000000000001,9.420760000000001,2.0,1978.0456000000001
8/4/2025,9:00,1754323200,Space Needle,47.620475865973454,-122.3492266,Westlake Park,47.61094900589339,-122.3370206,walking,1505,1286,,api,1286.0,1099.53,0.0,1.0,1449.53
8/4/2025,9:00,1754323200,Space Needle,47.620475865973454,-122.3492266,Westlake Park,47.61094900589339,-122.3370206,bicycling,1757,490,,api,490.0,418.95,0.0,3.5,1643.95
8/4/2025,10:00,1754326800,Space Needle,47.620475865973454,-122.3492266,Westlake Park,47.61094900589339,-122.3370206,driving,2010,543,520.0,api,520.0,780.0,10.069299999999998,3.0,2434.158
8/4/2025,10:00,1754326800,Space Needle,47.620475865973454,-122.3492266,Westlake Park,47.61094900589339,-122.3370206,transit,2332,929,,api,929.0,836.1,10.24276,2.0,2150.6656000000003
8/4/2025,10:00,1754326800,Space Needle,47.620475865973454,-122.3492266,Westlake Park,47.61094900589339,-122.3370206,walking,1505,1286,,api,1286.0,1099.53,0.0,1.0,1449.53
