day,time,timestamp,origin_place,origin_lat,origin_lng,destination_place,destination_lat,destination_lng,mode,distance_meters,duration_seconds,duration_in_traffic,source,duration_final,emissions,score
8/4/2025,13:00,1754337600,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,driving,2070,482,478.0,api,478.0,397.44,6.629955555555556
8/4/2025,13:00,1754337600,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,transit,2010,431,,api,431.0,211.04999999999998,4.504944444444444
8/4/2025,13:00,1754337600,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,walking,1687,1400,,api,1400.0,0.0,7.777777777777778
8/4/2025,13:00,1754337600,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,bicycling,1742,554,,api,554.0,0.0,3.0777777777777775
8/4/2025,14:00,1754341200,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,driving,2070,482,484.0,api,484.0,397.44,6.663288888888889
8/4/2025,14:00,1754341200,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,transit,2010,431,,api,431.0,211.04999999999998,4.504944444444444
8/4/2025,14:00,1754341200,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,walking,1687,1400,,api,1400.0,0.0,7.777777777777778
8/4/2025,14:00,1754341200,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,bicycling,1742,554,,api,554.0,0.0,3.0777777777777775
8/4/2025,15:00,1754344800,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,driving,2070,482,526.0,api,526.0,397.44,6.896622222222222
8/4/2025,15:00,1754344800,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,transit,2010,431,,api,431.0,211.04999999999998,4.504944444444444
8/4/2025,15:00,1754344800,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,walking,1687,1400,,api,1400.0,0.0,7.777777777777778
8/4/2025,15:00,1754344800,Westlake Park,47.61094901,-122.3370206,International District/Chinatown Station - light rail station,47.59835834,-122.3280238,bicycling,1742,554,,api,554.0,0.0,3.0777777777777775
