day,time,timestamp,origin_place,origin_lat,origin_lng,destination_place,destination_lat,destination_lng,mode,distance_meters,duration_seconds,duration_in_traffic,source
8/4/2025,15:00,1754344800,Space Needle,47.620475865973454,-122.3492266,Seattle Art Museum,47.60751482550527,-122.33796,transit,2459,1018,,api
8/4/2025,15:00,1754344800,Space Needle,47.620475865973454,-122.3492266,Seattle Art Museum,47.60751482550527,-122.33796,walking,1970,1631,,api
8/4/2025,15:00,1754344800,Space Needle,47.620475865973454,-122.3492266,Seattle Art Museum,47.60751482550527,-122.33796,bicycling,2026,556,,api
8/4/2025,16:00,1754348400,Space Needle,47.620475865973454,-122.3492266,Seattle Art Museum,47.60751482550527,-122.33796,driving,1942,469,560,api
8/4/2025,16:00,1754348400,Space Needle,47.620475865973454,-122.3492266,Seattle Art Museum,47.60751482550527,-122.33796,transit,2459,881,,api
8/4/2025,16:00,1754348400,Space Needle,47.620475865973454,-122.3492266,Seattle Art Museum,47.60751482550527,-122.33796,walking,1970,1631,,api
8/4/2025,16:00,1754348400,Space Needle,47.620475865973454,-122.3492266,Seattle Art Museum,47.60751482550527,-122.33796,bicycling,2026,556,,api
8/4/2025,17:00,1754352000,Space Needle,47.620475865973454,-122.3492266,Seattle Art Museum,47.60751482550527,-122.33796,driving,1942,469,590,api
8/4/2025,17:00,1754352000,Space Needle,47.620475865973454,-122.3492266,Seattle Art Museum,47.60751482550527,-122.33796,transit,2459,896,,api
8/4/2025,17:00,1754352000,Space Needle,47.620475865973454,-122.3492266,Seattle Art Museum,47.60751482550527,-122.33796,walking,1970,1631,,api
8/4/2025,17:00,1754352000,Space Needle,47.620475865973454,-122.3492266,Seattle Art Museum,47.60751482550527,-122.33796,bicycling,2026,556,,api
8/4/2025,18:00,1754355600,Space Needle,47.620475865973454,-122.3492266,Seattle Art Museum,47.60751482550527,-122.33796,driving,1942,469,504,api
8/4/2025,18:00,1754355600,Space Needle,47.620475865973454,-122.3492266,Seattle Art Museum,47.60751482550527,-122.33796,transit,2459,896,,api
8/4/2025,18:00,1754355600,Space Needle,47.620475865973454,-122.3492266,Seattle Art Museum,47.60751482550527,-122.33796,walking,1970,1631,,api
8/4/2025,18:00,1754355600,Space Needle,47.620475865973454,-122.3492266,Seattle Art Museum,47.60751482550527,-122.33796,bicycling,2026,556,,api
8/4/2025,19:00,1754359200,Space Needle,47.620475865973454,-122.3492266,Seattle Art Museum,47.60751482550527,-122.33796,driving,1942,469,451,api
8/4/2025,19:00,1754359200,Space Needle,47.620475865973454,-122.3492266,Seattle Art Museum,47.60751482550527,-122.33796,transit,2459,1018,,api
8/4/2025,19:00,1754359200,Space Needle,47.620475865973454,-122.3492266,Seattle Art Museum,47.60751482550527,-122.33796,walking,1970,1631,,api
8/4/2025,19:00,1754359200,Space Needle,47.620475865973454,-122.3492266,Seattle Art Museum,47.60751482550527,-122.33796,bicycling,2026,556,,api
8/4/2025,20:00,1754362800,Space Needle,47.620475865973454,-122.3492266,Seattle Art Museum,47.60751482550527,-122.33796,driving,1942,469,417,api
8/4/2025,20:00,1754362800,Space Needle,47.620475865973454,-122.3492266,Seattle Art Museum,47.60751482550527,-122.33796,transit,2459,849,,api
8/4/2025,20:00,1754362800,Space Needle,47.620475865973454,-122.3492266,Seattle Art Museum,47.60751482550527,-122.33796,walking,1970,1631,,api
8/4/2025,20:00,1754362800,Space Needle,47.620475865973454,-122.3492266,Seattle Art Museum,47.60751482550527,-122.33796,bicycling,2026,556,,api
8/4/2025,21:00,1754366400,Space Needle,47.620475865973454,-122.3492266,Seattle Art Museum,47.60751482550527,-122.33796,driving,1942,469,421,api
8/4/2025,21:00,1754366400,Space Needle,47.620475865973454,-122.3492266,Seattle Art Museum,47.60751482550527,-122.33796,transit,2375,1006,,api
8/4/2025,21:00,1754366400,Space Needle,47.620475865973454,-122.3492266,Seattle Art Museum,47.60751482550527,-122.33796,walking,1970,1631,,api
8/4/2025,21:00,1754366400,Space Needle,47.620475865973454,-122.3492266,Seattle Art Museum,47.60751482550527,-122.33796,bicycling,2026,556,,api
8/4/2025,22:00,1754370000,Space Needle,47.620475865973454,-122.3492266,Seattle Art Museum,47.60751482550527,-122.33796,driving,1942,469,402,api
8/4/2025,22:00,1754370000,Space Needle,47.620475865973454,-122.3492266,Seattle Art Museum,47.60751482550527,-122.33796,transit,2375,1006,,api
8/4/2025,22:00,1754370000,Space Needle,47.620475865973454,-122.3492266,Seattle Art Museum,47.60751482550527,-122.33796,walking,1970,1631,,api
8/4/2025,22:00,1754370000,Space Needle,47.620475865973454,-122.3492266,Seattle Art Museum,47.60751482550527,-122.33796,bicycling,2026,556,,api
8/5/2025,6:00,1754398800,Space Needle,47.620475865973454,-122.3492266,Seattle Art Museum,47.60751482550527,-122.33796,driving,1942,469,313,api
8/5/2025,6:00,1754398800,Space Needle,47.620475865973454,-122.3492266,Seattle Art Museum,47.60751482550527,-122.33796,transit,2375,1066,,api
8/5/2025,6:00,1754398800,Space Needle,47.620475865973454,-122.3492266,Seattle Art Museum,47.60751482550527,-122.33796,walking,1970,1631,,api
8/5/2025,6:00,1754398800,Space Needle,47.620475865973454,-122.3492266,Seattle Art Museum,47.60751482550527,-122.33796,bicycling,2026,556,,api
8/5/2025,7:00,1754402400,Space Needle,47.620475865973454,-122.3492266,Seattle Art Museum,47.60751482550527,-122.33796,driving,1942,469,338,api
8/5/2025,7:00,1754402400,Space Needle,47.620475865973454,-122.3492266,Seattle Art Museum,47.60751482550527,-122.33796,transit,2458,992,,api
8/5/2025,7:00,1754402400,Space Needle,47.620475865973454,-122.3492266,Seattle Art Museum,47.60751482550527,-122.33796,walking,1970,1631,,api
8/5/2025,7:00,1754402400,Space Needle,47.620475865973454,-122.3492266,Seattle Art Museum,47.60751482550527,-122.33796,bicycling,2026,556,,api
8/5/2025,8:00,1754406000,Space Needle,47.620475865973454,-122.3492266,Seattle Art Museum,47.60751482550527,-122.33796,driving,1942,469,372,api
8/5/2025,8:00,1754406000,Space Needle,47.620475865973454,-122.3492266,Seattle Art Museum,47.60751482550527,-122.33796,transit,2375,1020,,api
8/5/2025,8:00,1754406000,Space Needle,47.620475865973454,-122.3492266,Seattle Art Museum,47.60751482550527,-122.33796,walking,1970,1631,,api
8/5/2025,8:00,1754406000,Space Needle,47.620475865973454,-122.3492266,Seattle Art Museum,47.60751482550527,-122.33796,bicycling,2026,556,,api
8/5/2025,9:00,1754409600,Space Needle,47.620475865973454,-122.3492266,Seattle Art Museum,47.60751482550527,-122.33796,driving,1942,469,433,api
8/5/2025,9:00,1754409600,Space Needle,47.620475865973454,-122.3492266,Seattle Art Museum,47.60751482550527,-122.33796,transit,2459,881,,api
8/5/2025,9:00,1754409600,Space Needle,47.620475865973454,-122.3492266,Seattle Art Museum,47.60751482550527,-122.33796,walking,1970,1631,,api
8/5/2025,9:00,1754409600,Space Needle,47.620475865973454,-122.3492266,Seattle Art Museum,47.60751482550527,-122.33796,bicycling,2026,556,,api
8/5/2025,10:00,1754413200,Space Needle,47.620475865973454,-122.3492266,Seattle Art Museum,47.60751482550527,-122.33796,driving,1942,469,444,api
8/5/2025,10:00,1754413200,Space Needle,47.620475865973454,-122.3492266,Seattle Art Museum,47.60751482550527,-122.33796,transit,2459,1018,,api
8/5/2025,10:00,1754413200,Space Needle,47.620475865973454,-122.3492266,Seattle Art Museum,47.60751482550527,-122.33796,walking,1970,1631,,api
8/5/2025,10:00,1754413200,Space Needle,47.620475865973454,-122.3492266,Seattle Art Museum,47.60751482550527,-122.33796,bicycling,2026,556,,api
8/5/2025,11:00,1754416800,Space Needle,47.620475865973454,-122.3492266,Seattle Art Museum,47.60751482550527,-122.33796,driving,1942,469,472,api
8/5/2025,11:00,1754416800,Space Needle,47.620475865973454,-122.3492266,Seattle Art Museum,47.60751482550527,-122.33796,transit,2459,1018,,api
8/5/2025,11:00,1754416800,Space Needle,47.620475865973454,-122.3492266,Seattle Art Museum,47.60751482550527,-122.33796,walking,1970,1631,,api
8/5/2025,11:00,1754416800,Space Needle,47.620475865973454,-122.3492266,Seattle Art Museum,47.60751482550527,-122.33796,bicycling,2026,556,,api
8/5/2025,12:00,1754420400,Space Needle,47.620475865973454,-122.3492266,Seattle Art Museum,47.60751482550527,-122.33796,driving,1942,469,540,api
8/5/2025,12:00,1754420400,Space Needle,47.620475865973454,-122.3492266,Seattle Art Museum,47.60751482550527,-122.33796,transit,2459,1018,,api
8/5/2025,12:00,1754420400,Space Needle,47.620475865973454,-122.3492266,Seattle Art Museum,47.60751482550527,-122.33796,walking,1970,1631,,api
8/5/2025,12:00,1754420400,Space Needle,47.620475865973454,-122.3492266,Seattle Art Museum,47.60751482550527,-122.33796,bicycling,2026,556,,api
8/5/2025,13:00,1754424000,Space Needle,47.620475865973454,-122.3492266,Seattle Art Museum,47.60751482550527,-122.33796,driving,1942,469,512,api
8/5/2025,13:00,1754424000,Space Needle,47.620475865973454,-122.3492266,Seattle Art Museum,47.60751482550527,-122.33796,transit,2459,1018,,api
8/5/2025,13:00,1754424000,Space Needle,47.620475865973454,-122.3492266,Seattle Art Museum,47.60751482550527,-122.33796,walking,1970,1631,,api
8/5/2025,13:00,1754424000,Space Needle,47.620475865973454,-122.3492266,Seattle Art Museum,47.60751482550527,-122.33796,bicycling,2026,556,,api
8/5/2025,14:00,1754427600,Space Needle,47.620475865973454,-122.3492266,Seattle Art Museum,47.60751482550527,-122.33796,driving,1942,469,550,api
8/5/2025,14:00,1754427600,Space Needle,47.620475865973454,-122.3492266,Seattle Art Museum,47.60751482550527,-122.33796,transit,2459,1018,,api
8/5/2025,14:00,1754427600,Space Needle,47.620475865973454,-122.3492266,Seattle Art Museum,47.60751482550527,-122.33796,walking,1970,1631,,api
8/5/2025,14:00,1754427600,Space Needle,47.620475865973454,-122.3492266,Seattle Art Museum,47.60751482550527,-122.33796,bicycling,2026,556,,api
8/5/2025,15:00,1754431200,Space Needle,47.620475865973454,-122.3492266,Seattle Art Museum,47.60751482550527,-122.33796,driving,1942,469,533,api
8/5/2025,15:00,1754431200,Space Needle,47.620475865973454,-122.3492266,Seattle Art Museum,47.60751482550527,-122.33796,transit,2459,1018,,api
8/5/2025,15:00,1754431200,Space Needle,47.620475865973454,-122.3492266,Seattle Art Museum,47.60751482550527,-122.33796,walking,1970,1631,,api
8/5/2025,15:00,1754431200,Space Needle,47.620475865973454,-122.3492266,Seattle Art Museum,47.60751482550527,-122.33796,bicycling,2026,556,,api
8/5/2025,16:00,1754434800,Space Needle,47.620475865973454,-122.3492266,Seattle Art Museum,47.60751482550527,-122.33796,driving,1942,469,611,api
