day,time,timestamp,origin_place,origin_lat,origin_lng,destination_place,destination_lat,destination_lng,mode,distance_meters,duration_seconds,duration_in_traffic,source,predicted_duration,actual_duration,abs_error,rel_error
8/4/2025,6:00,1754312400,Benaroya Hall,47.60814199288301,-122.3368088,Seattle Ferry Terminal,47.602418939911296,-122.3389796,driving,1493,423,327.0,api,486.56,327.0,159.56,0.48795107033639146
8/4/2025,6:00,1754312400,Benaroya Hall,47.60814199288301,-122.3368088,Seattle Ferry Terminal,47.602418939911296,-122.3389796,transit,1398,511,,api,666.49,511.0,155.49,0.3042857142857143
8/4/2025,6:00,1754312400,Benaroya Hall,47.60814199288301,-122.3368088,Seattle Ferry Terminal,47.602418939911296,-122.3389796,walking,977,856,,api,920.16,856.0,64.15999999999997,0.07495327102803735
8/4/2025,6:00,1754312400,Benaroya Hall,47.60814199288301,-122.3368088,Seattle Ferry Terminal,47.602418939911296,-122.3389796,bicycling,1552,522,,api,557.44,522.0,35.440000000000055,0.06789272030651351
8/4/2025,7:00,1754316000,Benaroya Hall,47.60814199288301,-122.3368088,Seattle Ferry Terminal,47.602418939911296,-122.3389796,driving,1493,423,343.0,api,486.56,343.0,143.56,0.4185422740524781
8/4/2025,7:00,1754316000,Benaroya Hall,47.60814199288301,-122.3368088,Seattle Ferry Terminal,47.602418939911296,-122.3389796,transit,1398,571,,api,666.49,571.0,95.49000000000001,0.16723292469352016
8/4/2025,7:00,1754316000,Benaroya Hall,47.60814199288301,-122.3368088,Seattle Ferry Terminal,47.602418939911296,-122.3389796,walking,977,856,,api,920.16,856.0,64.15999999999997,0.07495327102803735
8/4/2025,7:00,1754316000,Benaroya Hall,47.60814199288301,-122.3368088,Seattle Ferry Terminal,47.602418939911296,-122.3389796,bicycling,1552,522,,api,557.44,522.0,35.440000000000055,0.06789272030651351
8/4/2025,8:00,1754319600,Benaroya Hall,47.60814199288301,-122.3368088,Seattle Ferry Terminal,47.602418939911296,-122.3389796,driving,1493,423,353.0,api,486.56,353.0,133.56,0.37835694050991503
8/4/2025,8:00,1754319600,Benaroya Hall,47.60814199288301,-122.3368088,Seattle Ferry Terminal,47.602418939911296,-122.3389796,transit,1398,576,,api,666.49,576.0,90.49000000000001,0.15710069444444447
8/4/2025,8:00,1754319600,Benaroya Hall,47.60814199288301,-122.3368088,Seattle Ferry Terminal,47.602418939911296,-122.3389796,walking,977,856,,api,920.16,856.0,64.15999999999997,0.07495327102803735
8/4/2025,8:00,1754319600,Benaroya Hall,47.60814199288301,-122.3368088,Seattle Ferry Terminal,47.602418939911296,-122.3389796,bicycling,1552,522,,api,557.44,522.0,35.440000000000055,0.06789272030651351
8/4/2025,9:00,1754323200,Benaroya Hall,47.60814199288301,-122.3368088,Seattle Ferry Terminal,47.602418939911296,-122.3389796,driving,1493,423,406.0,api,486.56,406.0,80.56,0.19842364532019705
8/4/2025,9:00,1754323200,Benaroya Hall,47.60814199288301,-122.3368088,Seattle Ferry Terminal,47.602418939911296,-122.3389796,transit,1398,576,,api,666.49,576.0,90.49000000000001,0.15710069444444447
8/4/2025,9:00,1754323200,Benaroya Hall,47.60814199288301,-122.3368088,Seattle Ferry Terminal,47.602418939911296,-122.3389796,walking,977,856,,api,920.16,856.0,64.15999999999997,0.07495327102803735
8/4/2025,9:00,1754323200,Benaroya Hall,47.60814199288301,-122.3368088,Seattle Ferry Terminal,47.602418939911296,-122.3389796,bicycling,1552,522,,api,557.44,522.0,35.440000000000055,0.06789272030651351
8/4/2025,10:00,1754326800,Benaroya Hall,47.60814199288301,-122.3368088,Seattle Ferry Terminal,47.602418939911296,-122.3389796,driving,1493,423,448.0,api,486.56,448.0,38.56,0.08607142857142858
8/4/2025,10:00,1754326800,Benaroya Hall,47.60814199288301,-122.3368088,Seattle Ferry Terminal,47.602418939911296,-122.3389796,transit,1398,573,,api,666.49,573.0,93.49000000000001,0.16315881326352533
8/4/2025,10:00,1754326800,Benaroya Hall,47.60814199288301,-122.3368088,Seattle Ferry Terminal,47.602418939911296,-122.3389796,walking,977,856,,api,920.16,856.0,64.15999999999997,0.07495327102803735
8/4/2025,10:00,1754326800,Benaroya Hall,47.60814199288301,-122.3368088,Seattle Ferry Terminal,47.602418939911296,-122.3389796,bicycling,1552,522,,api,557.44,522.0,35.440000000000055,0.06789272030651351
8/4/2025,11:00,1754330400,Benaroya Hall,47.60814199288301,-122.3368088,Seattle Ferry Terminal,47.602418939911296,-122.3389796,driving,1493,423,437.0,api,486.56,437.0,49.56,0.1134096109839817
8/4/2025,11:00,1754330400,Benaroya Hall,47.60814199288301,-122.3368088,Seattle Ferry Terminal,47.602418939911296,-122.3389796,transit,1398,571,,api,666.49,571.0,95.49000000000001,0.16723292469352016
8/4/2025,11:00,1754330400,Benaroya Hall,47.60814199288301,-122.3368088,Seattle Ferry Terminal,47.602418939911296,-122.3389796,walking,977,856,,api,920.16,856.0,64.15999999999997,0.07495327102803735
8/4/2025,11:00,1754330400,Benaroya Hall,47.60814199288301,-122.3368088,Seattle Ferry Terminal,47.602418939911296,-122.3389796,bicycling,1552,522,,api,557.44,522.0,35.440000000000055,0.06789272030651351
8/4/2025,12:00,1754334000,Benaroya Hall,47.60814199288301,-122.3368088,Seattle Ferry Terminal,47.602418939911296,-122.3389796,driving,1493,423,445.0,api,486.56,445.0,41.56,0.0933932584269663
8/4/2025,12:00,1754334000,Benaroya Hall,47.60814199288301,-122.3368088,Seattle Ferry Terminal,47.602418939911296,-122.3389796,transit,1398,573,,api,666.49,573.0,93.49000000000001,0.16315881326352533
8/4/2025,12:00,1754334000,Benaroya Hall,47.60814199288301,-122.3368088,Seattle Ferry Terminal,47.602418939911296,-122.3389796,walking,977,856,,api,920.16,856.0,64.15999999999997,0.07495327102803735
8/4/2025,12:00,1754334000,Benaroya Hall,47.60814199288301,-122.3368088,Seattle Ferry Terminal,47.602418939911296,-122.3389796,bicycling,1552,522,,api,557.44,522.0,35.440000000000055,0.06789272030651351
8/4/2025,13:00,1754337600,Benaroya Hall,47.60814199288301,-122.3368088,Seattle Ferry Terminal,47.602418939911296,-122.3389796,driving,1493,423,464.0,api,486.56,464.0,22.560000000000002,0.04862068965517242
8/4/2025,13:00,1754337600,Benaroya Hall,47.60814199288301,-122.3368088,Seattle Ferry Terminal,47.602418939911296,-122.3389796,transit,1398,573,,api,666.49,573.0,93.49000000000001,0.16315881326352533
