origin_place,origin_lat,origin_lng,destination_place,destination_lat,destination_lng,mode
Museum of History & Industry (MOHAI),47.62757702542345,-122.33690614596017,Space Needle,47.620475865973454,-122.34922662355609,driving
Museum of History & Industry (MOHAI),47.62757702542345,-122.33690614596017,Space Needle,47.620475865973454,-122.34922662355609,walking
Museum of History & Industry (MOHAI),47.62757702542345,-122.33690614596017,Space Needle,47.620475865973454,-122.34922662355609,bicycling
Museum of History & Industry (MOHAI),47.62757702542345,-122.33690614596017,Space Needle,47.620475865973454,-122.34922662355609,transit
Museum of History & Industry (MOHAI),47.62757702542345,-122.33690614596017,Chihuly Garden and Glass,47.62054706471586,-122.35046081087614,driving
Museum of History & Industry (MOHAI),47.62757702542345,-122.33690614596017,Chihuly Garden and Glass,47.62054706471586,-122.35046081087614,walking
Museum of History & Industry (MOHAI),47.62757702542345,-122.33690614596017,Chihuly Garden and Glass,47.62054706471586,-122.35046081087614,bicycling
Museum of History & Industry (MOHAI),47.62757702542345,-122.33690614596017,Chihuly Garden and Glass,47.62054706471586,-122.35046081087614,transit
Museum of History & Industry (MOHAI),47.62757702542345,-122.33690614596017,Seattle Aquarium,47.607381610552146,-122.34296367108706,driving
Museum of History & Industry (MOHAI),47.62757702542345,-122.33690614596017,Seattle Aquarium,47.607381610552146,-122.34296367108706,walking
Museum of History & Industry (MOHAI),47.62757702542345,-122.33690614596017,Seattle Aquarium,47.607381610552146,-122.34296367108706,bicycling
Museum of History & Industry (MOHAI),47.62757702542345,-122.33690614596017,Seattle Aquarium,47.607381610552146,-122.34296367108706,transit
Museum of History & Industry (MOHAI),47.62757702542345,-122.33690614596017,Olympic Sculpture Park,47.616598558883176,-122.35531073027671,driving
Museum of History & Industry (MOHAI),47.62757702542345,-122.33690614596017,Olympic Sculpture Park,47.616598558883176,-122.35531073027671,walking
Museum of History & Industry (MOHAI),47.62757702542345,-122.33690614596017,Olympic Sculpture Park,47.616598558883176,-122.35531073027671,bicycling
Museum of History & Industry (MOHAI),47.62757702542345,-122.33690614596017,Olympic Sculpture Park,47.616598558883176,-122.35531073027671,transit
Museum of History & Industry (MOHAI),47.62757702542345,-122.33690614596017,Museum of Pop Culture,47.621470125609314,-122.3481282699205,driving
Museum of History & Industry (MOHAI),47.62757702542345,-122.33690614596017,Museum of Pop Culture,47.621470125609314,-122.3481282699205,walking
Museum of History & Industry (MOHAI),47.62757702542345,-122.33690614596017,Museum of Pop Culture,47.621470125609314,-122.3481282699205,bicycling
Museum of History & Industry (MOHAI),47.62757702542345,-122.33690614596017,Museum of Pop Culture,47.621470125609314,-122.3481282699205,transit
Museum of History & Industry (MOHAI),47.62757702542345,-122.33690614596017,Discovery Park,47.66122637312634,-122.41720530872853,driving
Museum of History & Industry (MOHAI),47.62757702542345,-122.33690614596017,Discovery Park,47.66122637312634,-122.41720530872853,walking
Museum of History & Industry (MOHAI),47.62757702542345,-122.33690614596017,Discovery Park,47.66122637312634,-122.41720530872853,bicycling
Museum of History & Industry (MOHAI),47.62757702542345,-122.33690614596017,Discovery Park,47.66122637312634,-122.41720530872853,transit
Museum of History & Industry (MOHAI),47.62757702542345,-122.33690614596017,Pike Place Market,47.60939849082073,-122.3418399195103,driving
Museum of History & Industry (MOHAI),47.62757702542345,-122.33690614596017,Pike Place Market,47.60939849082073,-122.3418399195103,walking
Museum of History & Industry (MOHAI),47.62757702542345,-122.33690614596017,Pike Place Market,47.60939849082073,-122.3418399195103,bicycling
Museum of History & Industry (MOHAI),47.62757702542345,-122.33690614596017,Pike Place Market,47.60939849082073,-122.3418399195103,transit
