origin_place,origin_lat,origin_lng,destination_place,destination_lat,destination_lng,mode
Seattle Art Museum,47.60751482550527,-122.33796002616279,Space Needle,47.620475865973454,-122.34922662355609,driving
Seattle Art Museum,47.60751482550527,-122.33796002616279,Space Needle,47.620475865973454,-122.34922662355609,walking
Seattle Art Museum,47.60751482550527,-122.33796002616279,Space Needle,47.620475865973454,-122.34922662355609,bicycling
Seattle Art Museum,47.60751482550527,-122.33796002616279,Space Needle,47.620475865973454,-122.34922662355609,transit
Seattle Art Museum,47.60751482550527,-122.33796002616279,Chihuly Garden and Glass,47.62054706471586,-122.35046081087614,driving
Seattle Art Museum,47.60751482550527,-122.33796002616279,Chihuly Garden and Glass,47.62054706471586,-122.35046081087614,walking
Seattle Art Museum,47.60751482550527,-122.33796002616279,Chihuly Garden and Glass,47.62054706471586,-122.35046081087614,bicycling
Seattle Art Museum,47.60751482550527,-122.33796002616279,Chihuly Garden and Glass,47.62054706471586,-122.35046081087614,transit
Seattle Art Museum,47.60751482550527,-122.33796002616279,Seattle Aquarium,47.607381610552146,-122.34296367108706,driving
Seattle Art Museum,47.60751482550527,-122.33796002616279,Seattle Aquarium,47.607381610552146,-122.34296367108706,walking
Seattle Art Museum,47.60751482550527,-122.33796002616279,Seattle Aquarium,47.607381610552146,-122.34296367108706,bicycling
Seattle Art Museum,47.60751482550527,-122.33796002616279,Seattle Aquarium,47.607381610552146,-122.34296367108706,transit
Seattle Art Museum,47.60751482550527,-122.33796002616279,Olympic Sculpture Park,47.616598558883176,-122.35531073027671,driving
Seattle Art Museum,47.60751482550527,-122.33796002616279,Olympic Sculpture Park,47.616598558883176,-122.35531073027671,walking
Seattle Art Museum,47.60751482550527,-122.33796002616279,Olympic Sculpture Park,47.616598558883176,-122.35531073027671,bicycling
Seattle Art Museum,47.60751482550527,-122.33796002616279,Olympic Sculpture Park,47.616598558883176,-122.35531073027671,transit
Seattle Art Museum,47.60751482550527,-122.33796002616279,Museum of Pop Culture,47.621470125609314,-122.3481282699205,driving
Seattle Art Museum,47.60751482550527,-122.33796002616279,Museum of Pop Culture,47.621470125609314,-122.3481282699205,walking
Seattle Art Museum,47.60751482550527,-122.33796002616279,Museum of Pop Culture,47.621470125609314,-122.3481282699205,bicycling
Seattle Art Museum,47.60751482550527,-122.33796002616279,Museum of Pop Culture,47.621470125609314,-122.3481282699205,transit
Seattle Art Museum,47.60751482550527,-122.33796002616279,Discovery Park,47.66122637312634,-122.41720530872853,driving
Seattle Art Museum,47.60751482550527,-122.33796002616279,Discovery Park,47.66122637312634,-122.41720530872853,walking
Seattle Art Museum,47.60751482550527,-122.33796002616279,Discovery Park,47.66122637312634,-122.41720530872853,bicycling
Seattle Art Museum,47.60751482550527,-122.33796002616279,Discovery Park,47.66122637312634,-122.41720530872853,transit
Seattle Art Museum,47.60751482550527,-122.33796002616279,Pike Place Market,47.60939849082073,-122.3418399195103,driving
Seattle Art Museum,47.60751482550527,-122.33796002616279,Pike Place Market,47.60939849082073,-122.3418399195103,walking
Seattle Art Museum,47.60751482550527,-122.33796002616279,Pike Place Market,47.60939849082073,-122.3418399195103,bicycling
Seattle Art Museum,47.60751482550527,-122.33796002616279,Pike Place Market,47.60939849082073,-122.3418399195103,transit
Seattle Art Museum,47.60751482550527,-122.33796002616279,The Seattle Great Wheel,47.606120881176786,-122.34252171878009,driving
Seattle Art Museum,47.60751482550527,-122.33796002616279,The Seattle Great Wheel,47.606120881176786,-122.34252171878009,walking
Seattle Art Museum,47.60751482550527,-122.33796002616279,The Seattle Great Wheel,47.606120881176786,-122.34252171878009,bicycling
Seattle Art Museum,47.60751482550527,-122.33796002616279,The Seattle Great Wheel,47.606120881176786,-122.34252171878009,transit
Seattle Art Museum,47.60751482550527,-122.33796002616279,Fremont Troll,47.65105594466806,-122.34750074191479,driving
Seattle Art Museum,47.60751482550527,-122.33796002616279,Fremont Troll,47.65105594466806,-122.34750074191479,walking
Seattle Art Museum,47.60751482550527,-122.33796002616279,Fremont Troll,47.65105594466806,-122.34750074191479,bicycling
Seattle Art Museum,47.60751482550527,-122.33796002616279,Fremont Troll,47.65105594466806,-122.34750074191479,transit
Seattle Art Museum,47.60751482550527,-122.33796002616279,Waterfront Park,47.60703330685766,-122.34182786690161,driving
Seattle Art Museum,47.60751482550527,-122.33796002616279,Waterfront Park,47.60703330685766,-122.34182786690161,walking
