dataset,origin_place,origin_lat,origin_lng,destination_place,destination_lat,destination_lng,mode,departure_time
test,Pier 55,47.60473848834246,-122.33971581996045,Island Crest Park,47.550388156898364,-122.22362827521079,bicycling,1749580510
test,Pier 55,47.60473848834246,-122.33971581996045,Island Crest Park,47.550388156898364,-122.22362827521079,transit,1749580510
test,Pier 55,47.60473848834246,-122.33971581996045,Island Crest Park,47.550388156898364,-122.22362827521079,walking,1749580510
test,Gas Works Park,47.64562277252068,-122.33436095731012,Juanita Beach Park,47.70461277246282,-122.21481027193994,driving,1749580510
test,Gas Works Park,47.64562277252068,-122.33436095731012,Juanita Beach Park,47.70461277246282,-122.21481027193994,bicycling,1749580510
test,Gas Works Park,47.64562277252068,-122.33436095731012,Juanita Beach Park,47.70461277246282,-122.21481027193994,transit,1749580510
test,Gas Works Park,47.64562277252068,-122.33436095731012,Juanita Beach Park,47.70461277246282,-122.21481027193994,walking,1749580510
test,Seattle Aquarium,47.607381610552146,-122.34296367108706,Seattle Public Library - Central Library,47.60665261297587,-122.33218316372471,driving,1749580510
test,Seattle Aquarium,47.607381610552146,-122.34296367108706,Seattle Public Library - Central Library,47.60665261297587,-122.33218316372471,bicycling,1749580510
test,Seattle Aquarium,47.607381610552146,-122.34296367108706,Seattle Public Library - Central Library,47.60665261297587,-122.33218316372471,transit,1749580510
test,Seattle Aquarium,47.607381610552146,-122.34296367108706,Seattle Public Library - Central Library,47.60665261297587,-122.33218316372471,walking,1749580510
test,Angle Lake Station - light rail station,47.42298823895366,-122.29787955276633,Beacon Hill Station - light rail station,47.57926798518594,-122.31172740892907,driving,1749580510
test,Angle Lake Station - light rail station,47.42298823895366,-122.29787955276633,Beacon Hill Station - light rail station,47.57926798518594,-122.31172740892907,bicycling,1749580510
test,Angle Lake Station - light rail station,47.42298823895366,-122.29787955276633,Beacon Hill Station - light rail station,47.57926798518594,-122.31172740892907,transit,1749580510
test,Angle Lake Station - light rail station,47.42298823895366,-122.29787955276633,Beacon Hill Station - light rail station,47.57926798518594,-122.31172740892907,walking,1749580510
test,Seattle Japanese Garden,47.628988143602356,-122.29629747947965,Chism Beach Park,47.59991928985571,-122.21078492396391,driving,1749580510
test,Seattle Japanese Garden,47.628988143602356,-122.29629747947965,Chism Beach Park,47.59991928985571,-122.21078492396391,bicycling,1749580510
test,Seattle Japanese Garden,47.628988143602356,-122.29629747947965,Chism Beach Park,47.59991928985571,-122.21078492396391,transit,1749580510
test,Seattle Japanese Garden,47.628988143602356,-122.29629747947965,Chism Beach Park,47.59991928985571,-122.21078492396391,walking,1749580510
test,Kent Station  - train station,47.38456169019029,-122.23294597098803,T-Mobile Park,47.59146256859391,-122.33264630296841,driving,1749580510
test,Kent Station  - train station,47.38456169019029,-122.23294597098803,T-Mobile Park,47.59146256859391,-122.33264630296841,bicycling,1749580510
test,Kent Station  - train station,47.38456169019029,-122.23294597098803,T-Mobile Park,47.59146256859391,-122.33264630296841,transit,1749580510
test,Kent Station  - train station,47.38456169019029,-122.23294597098803,T-Mobile Park,47.59146256859391,-122.33264630296841,walking,1749580510
test,Green Lake Park,47.680189853320684,-122.32842851303496,SeaTac/Airport Station - light rail station,47.44534852757398,-122.29689677665228,driving,1749580510
test,Green Lake Park,47.680189853320684,-122.32842851303496,SeaTac/Airport Station - light rail station,47.44534852757398,-122.29689677665228,bicycling,1749580510
test,Green Lake Park,47.680189853320684,-122.32842851303496,SeaTac/Airport Station - light rail station,47.44534852757398,-122.29689677665228,transit,1749580510
test,Green Lake Park,47.680189853320684,-122.32842851303496,SeaTac/Airport Station - light rail station,47.44534852757398,-122.29689677665228,walking,1749580510
test,Burke Museum of Natural History and Culture,47.66041766926138,-122.31155621097038,Chihuly Garden and Glass,47.62054706471586,-122.35046081087614,driving,1749580510
test,Burke Museum of Natural History and Culture,47.66041766926138,-122.31155621097038,Chihuly Garden and Glass,47.62054706471586,-122.35046081087614,bicycling,1749580510
test,Burke Museum of Natural History and Culture,47.66041766926138,-122.31155621097038,Chihuly Garden and Glass,47.62054706471586,-122.35046081087614,transit,1749580510
test,Burke Museum of Natural History and Culture,47.66041766926138,-122.31155621097038,Chihuly Garden and Glass,47.62054706471586,-122.35046081087614,walking,1749580510
test,Seattle Pinball Museum,47.598062914430656,-122.32478776955406,East Main Station - light rail station,47.608176874389706,-122.19114461036955,driving,1749580510
test,Seattle Pinball Museum,47.598062914430656,-122.32478776955406,East Main Station - light rail station,47.608176874389706,-122.19114461036955,bicycling,1749580510
test,Seattle Pinball Museum,47.598062914430656,-122.32478776955406,East Main Station - light rail station,47.608176874389706,-122.19114461036955,transit,1749580510
test,Seattle Pinball Museum,47.598062914430656,-122.32478776955406,East Main Station - light rail station,47.608176874389706,-122.19114461036955,walking,1749580510
test,Lakewood Station - train station,47.152969891621204,-122.49938506575916,Luther Burbank Park,47.591172896963286,-122.2256759261922,driving,1749580510
test,Lakewood Station - train station,47.152969891621204,-122.49938506575916,Luther Burbank Park,47.591172896963286,-122.2256759261922,bicycling,1749580510
test,Lakewood Station - train station,47.152969891621204,-122.49938506575916,Luther Burbank Park,47.591172896963286,-122.2256759261922,transit,1749580510
test,Lakewood Station - train station,47.152969891621204,-122.49938506575916,Luther Burbank Park,47.591172896963286,-122.2256759261922,walking,1749580510
test,Island Crest Park,47.550388156898364,-122.22362827521079,"6th Ave Station - light rail station
",47.25692010442415,-122.45286364899901,driving,1749580510
test,Island Crest Park,47.550388156898364,-122.22362827521079,"6th Ave Station - light rail station
",47.25692010442415,-122.45286364899901,bicycling,1749580510
test,Island Crest Park,47.550388156898364,-122.22362827521079,"6th Ave Station - light rail station
",47.25692010442415,-122.45286364899901,transit,1749580510
test,Island Crest Park,47.550388156898364,-122.22362827521079,"6th Ave Station - light rail station
",47.25692010442415,-122.45286364899901,walking,1749580510
